stkcd,year,total_assets,total_liab,fixed_assets,net_profit,depr_total,current_assets,current_liab,controller_last,ind_code,listing_state,Lev,NPR,Size,Tang,NDTS,Liq,SOE,total_assets_lag,Growth,industry_fe,Lev_w,NPR_w,Tang_w,Growth_w,NDTS_w,Liq_w,M2_growth
000001,2010,727207076000.0,694009541000.0,2392293000.0,6283816000.0,492452000.0,,,1230,I0199,正常上市,0.9543492684606386,0.008641027029830496,27.31247711023539,0.0032896998378492124,0.0006771826296145667,,1,587811034000.0,0.23714430988377805,I,0.9352799349553248,0.008641027029830496,0.005188875947968928,0.23714430988377805,0.0008683964675962785,,18.94832147840671
000001,2011,1258176944000.0,1182796360000.0,3524265000.0,10390491000.0,909860000.0,,,1230,I0199,正常上市,0.9400874540266572,0.008258370215374095,27.86068491932376,0.0028010885247949672,0.000723157425780964,,1,727207076000.0,0.7301494794585854,I,0.9270328118084746,0.008258370215374095,0.005884497812925779,0.7301494794585854,0.000999281756452937,,17.322971438522305
000002,2012,378801615075.37,296663420087.27,1612257202.22,15662588423.06,182621025.17000002,362773737335.37,259833566711.09,2100,K70,正常上市,0.783163028563759,0.04134773401096408,26.660278461911783,0.004256204667710326,0.00048210202359792997,1.3961773373905135,1,296208440030.05,0.2788346444042615,K,0.783163028563759,0.04134773401096408,0.004256204667710326,0.2788346444042615,0.0007196796056311252,1.3961773373905135,14.391640399163505
000002,2013,479205323490.54,373765900091.91,2129767863.36,18297549871.24,179235500.15,442046585199.61,328921832209.92,2100,K70,正常上市,0.7799702586135575,0.038183110608956364,26.895394992806438,0.004444374381834353,0.000374026521334207,1.3439259480881558,1,378801615075.37,0.26505617827208233,K,0.7799702586135575,0.038183110608956364,0.004444374381834353,0.26505617827208233,0.0008323014570663409,1.3439259480881558,13.58890962037832
000002,2014,508408755415.65,392515138495.68,2308351663.13,19287524028.08,548904324.49,464805697453.18,345654030971.64,2100,K70,正常上市,0.772046378656046,0.037937041450656114,26.954551597623354,0.004540346008091079,0.0010796515965608082,1.3447136610749262,1,479205323490.54,0.060941376260997555,K,0.772046378656046,0.037937041450656114,0.004540346008091079,0.060941376260997555,0.0010796515965608082,1.3447136610749262,11.011933756580282
000002,2015,611295567689.29,474985950368.27,4917479160.88,25949438026.31,715806286.73,547024375866.34,420061826880.58,2100,K70,正常上市,0.7770152042222829,0.042449903774698414,27.138846423323837,0.008044355988819245,0.0011709659362258468,1.3022472904253077,1,508408755415.65,0.20237026049939838,K,0.7770152042222829,0.042449903774698414,0.008044355988819245,0.20237026049939838,0.0011709659362258468,1.3022472904253077,13.343101795966511
000002,2016,830674213924.14,668997642643.14,6810793073.58,28350255480.66,1148632098.6599998,721295427853.28,579998485463.07,2100,K70,正常上市,0.8053670517624075,0.034129210953512325,27.445503513927846,0.008199114598014938,0.0013827708617964837,1.2436160540615875,1,611295567689.29,0.35887491719284964,K,0.8053670517624075,0.034129210953512325,0.008199114598014938,0.35887491719284964,0.0013827708617964837,1.2436160540615875,11.333123748768307
000002,2017,1165346917804.55,978672978646.26,7098808083.4,37208387330.07,1929038082.01,1017552832148.3,847355429875.81,2120,K70,正常上市,0.8398125602717742,0.03192902196040349,27.78403994214072,0.006091583523277142,0.0016553337487211126,1.2008571565977153,1,830674213924.14,0.4028928529024659,K,0.8398125602717742,0.03192902196040349,0.006091583523277142,0.4028928529024659,0.0016553337487211126,1.2008571565977153,9.042746354076238
000002,2018,1528579356474.81,1292958626477.23,11533798650.31,49272294534.61,2921936171.0,1295071856292.37,1121913936785.61,2120,K70,正常上市,0.845856396660383,0.03223404419659384,28.055359894806493,0.007545436618291834,0.001911537113610203,1.154341535325672,1,1165346917804.55,0.31169468346350465,K,0.8428324342519906,0.03223404419659384,0.007545436618291834,0.31169468346350465,0.001911537113610203,1.154341535325672,8.076325231167527
000002,2019,1729929450401.23,1459350334988.27,12399838267.28,55131614572.09,6305602168.71,1438989354552.98,1272610284010.69,2120,K70,正常上市,0.8435895086067219,0.03186928493488742,28.17910174349181,0.0071678288755671815,0.003645005388657621,1.1307384300069765,1,1528579356474.81,0.13172367733054494,K,0.8383882841469963,0.03186928493488742,0.0071678288755671815,0.13172367733054494,0.003645005388657621,1.1307384300069765,8.744771161720394
000002,2020,1869177094005.55,1519332620662.33,12577342742.17,59298116444.53,6984906139.12,1547387061234.69,1317492688869.78,2120,K70,正常上市,0.8128350307388363,0.03172418313636467,28.256519393260163,0.0067288127928089485,0.0037368883673572664,1.1744938505595248,1,1729929450401.23,0.08049324992532138,K,0.8128350307388363,0.03172418313636467,0.0067288127928089485,0.08049324992532138,0.0037368883673572664,1.1744938505595248,10.083474923191106
000002,2021,1938638128699.08,1545865352173.99,12821059774.78,38069527018.02,8063319986.629999,1600268307291.9,1311446467338.73,2120,K70,正常上市,0.7973975799244908,0.019637252798471724,28.29300684697362,0.0066134363009684284,0.004159270297670704,1.2202315131774044,1,1869177094005.55,0.037161291413366625,K,0.7973975799244908,0.019637252798471724,0.0066134363009684284,0.037161291413366625,0.004159270297670704,1.2202315131774044,8.967627019970175
000002,2022,1757124444202.95,1352132937796.74,16420265134.96,37550909305.14,9299962163.91,1415356379958.52,1077801572017.84,2120,K70,正常上市,0.7695146136391504,0.021370660131117512,28.194699750287814,0.00934496426199819,0.005292716855992838,1.313188268327273,1,1938638128699.08,-0.09362948237169698,K,0.7695146136391504,0.021370660131117512,0.00934496426199819,-0.09362948237169698,0.005292716855992838,1.313188268327273,11.81003177809087
